case_id,record_id,task_type,scenario_family,task_profile,contextual_warning,expected_cfp_intent,expected_cfp_keywords,expected_refinement_focus,expected_refinement_agents,expected_final_host,feasible_agents,unsafe_agents,cluster_utilities,has_feasible_host
S4B_068,ALI_00011,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 360.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.0973;C2:0.0981;C3:0.2178;C4:0.0723;C5:0.0061,False
S4B_069,ALI_00007,generative_ai_stream_inference,conflict_resolution,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1223.96 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability,conflict_aware_offloading,generative_ai_stream_inference;conflict_resolution;conflict_awareness;genai_acceleration;low_latency;priority_awareness;resource_reservation,latency;gpu;conflict;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1376;C2:0.1775;C3:0.2989;C4:0.202;C5:0.0055,False
S4B_070,ALI_00033,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.06 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2554;C2:0.1934;C3:0.3661;C4:0.3145;C5:0.2154,False
S4B_071,ALI_00048,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 291.61 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.3296;C2:0.2445;C3:0.4082;C4:0.314;C5:0.1724,False
S4B_072,ALI_00012,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 568.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2588;C2:0.2376;C3:0.3665;C4:0.247;C5:0.1456,False
S4B_073,ALI_00009,recommendation_stream,conflict_resolution,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 545.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1226;C2:0.1626;C3:0.3289;C4:0.2321;C5:0.0104,False
S4B_074,ALI_00061,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.39 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2806;C2:0.2635;C3:0.4362;C4:0.3397;C5:0.2405,False
S4B_075,ALI_00051,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority training workload of type genai as an edge stream task. The workload requests 8.00 GPU units and has observed duration 394.77 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1808;C2:0.1407;C3:0.3063;C4:0.1652;C5:0.0487,False
S4B_076,ALI_00014,computer_vision_stream,unseen_task,"Deploy a high-priority online inference workload of type cv as an edge stream task. The workload requests 1.00 GPU units and has observed duration 139.59 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: high_bandwidth, low_latency, priority_awareness.",negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,computer_vision_stream;unseen_task;high_bandwidth;low_latency;priority_awareness,latency;bandwidth;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1378;C2:0.1386;C3:0.2718;C4:0.1578;C5:0.0916,False
S4B_077,ALI_00010,generative_ai_stream_inference,conflict_resolution,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.83 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,generative_ai_stream_inference;conflict_resolution;conflict_awareness;genai_acceleration;resource_reservation,gpu;conflict,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.0106;C2:0.0722;C3:0.1952;C4:0.1189;C5:-0.0998,False
S4B_078,ALI_00077,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 6.51 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2031;C2:0.186;C3:0.3138;C4:0.2622;C5:0.163,False
S4B_079,ALI_00056,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1403.08 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2478;C2:0.2078;C3:0.3741;C4:0.2323;C5:0.0906,False
S4B_080,ALI_00015,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 401.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1308;C2:0.1316;C3:0.252;C4:0.1508;C5:0.0396,False
S4B_081,ALI_00016,recommendation_stream,conflict_resolution,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 571.50 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.14;C2:0.1799;C3:0.3463;C4:0.2044;C5:-0.0172,False
S4B_082,ALI_00092,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 17.74 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.282;C2:0.2649;C3:0.3927;C4:0.3411;C5:0.2419,False
S4B_083,ALI_00071,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1433.58 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1184;C2:0.0783;C3:0.2447;C4:0.1028;C5:-0.0137,False
S4B_084,ALI_00019,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 504.19 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.163;C2:0.1638;C3:0.2849;C4:0.183;C5:0.1168,False
S4B_085,ALI_00017,online_stream_inference,conflict_resolution,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1703.98 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,online_stream_inference;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation,latency;conflict;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.085;C2:0.125;C3:0.2463;C4:0.1495;C5:-0.0722,False
S4B_086,ALI_00094,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.11 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1835;C2:0.1664;C3:0.3392;C4:0.2877;C5:0.1885,False
S4B_087,ALI_00073,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 239.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2876;C2:0.2025;C3:0.3652;C4:0.272;C5:0.1304,False
S4B_088,ALI_00021,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 659.13 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.157;C2:0.1534;C3:0.3097;C4:0.1452;C5:0.0614,False
S4B_089,ALI_00018,recommendation_stream,conflict_resolution,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1072.23 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, low_latency, priority_awareness, resource_reservation, user_profile_awareness.",high scheduling delay or readiness failure indicates resource contention;long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,recommendation_stream;conflict_resolution;conflict_awareness;low_latency;priority_awareness;resource_reservation;user_profile_awareness,latency;conflict;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1922;C2:0.1871;C3:0.3535;C4:0.2566;C5:0.0475,False
S4B_090,ALI_00099,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.01 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1908;C2:0.1738;C3:0.3465;C4:0.2949;C5:0.1957,False
S4B_091,ALI_00081,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 2.00 GPU units and has observed duration 273.13 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2257;C2:0.1857;C3:0.349;C4:0.2101;C5:0.0685,False
S4B_092,ALI_00023,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 329.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1159;C2:0.0717;C3:0.1908;C4:0.0909;C5:0.0247,False
S4B_093,ALI_00022,generative_ai_stream_inference,conflict_resolution,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 3.38 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention;negative ready delay indicates missing or abnormal readiness information,conflict_aware_offloading,generative_ai_stream_inference;conflict_resolution;conflict_awareness;genai_acceleration;resource_reservation,gpu;conflict,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1376;C2:0.1826;C3:0.2771;C4:0.2008;C5:-0.0114,False
S4B_094,ALI_00101,generative_ai_stream_inference,data_drift,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.07 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1942;C2:0.1772;C3:0.3499;C4:0.2533;C5:0.1542,False
S4B_095,ALI_00090,generative_ai_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1151.80 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: genai_acceleration, low_latency, priority_awareness.",long-running stream workload may reduce future resource stability;negative ready delay indicates missing or abnormal readiness information,latency_critical_offloading,generative_ai_stream_inference;dynamic_workload;genai_acceleration;low_latency;priority_awareness,latency;gpu;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2439;C2:0.2039;C3:0.3702;C4:0.2734;C5:0.0993,False
S4B_096,ALI_00024,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 75.36 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.241;C2:0.2198;C3:0.387;C4:0.2742;C5:0.1728,False
S4B_097,ALI_00027,generative_ai_stream_inference,conflict_resolution,"Deploy a lower-priority offline inference workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1.16 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: conflict_awareness, genai_acceleration, resource_reservation.",high scheduling delay or readiness failure indicates resource contention,conflict_aware_offloading,generative_ai_stream_inference;conflict_resolution;conflict_awareness;genai_acceleration;resource_reservation,gpu;conflict,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1394;C2:0.1844;C3:0.2789;C4:0.2026;C5:-0.0096,False
S4B_098,ALI_00148,generative_ai_stream_inference,data_drift,"Deploy a lower-priority training workload of type genai as an edge stream task. The workload requests 1.00 GPU units and has observed duration 0.06 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: drift_awareness, genai_acceleration.",lower-urgency stream analytics may hide delayed workload bursts,drift_aware_offloading,generative_ai_stream_inference;data_drift;drift_awareness;genai_acceleration,gpu;drift,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.2481;C2:0.186;C3:0.3588;C4:0.3072;C5:0.2081,False
S4B_099,ALI_00095,online_stream_inference,dynamic_workload,"Deploy a high-priority online inference workload of type unknown as an edge stream task. The workload requests 1.00 GPU units and has observed duration 503.99 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,online_stream_inference;dynamic_workload;low_latency;priority_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1265;C2:0.0865;C3:0.2528;C4:0.156;C5:-0.0055,False
S4B_100,ALI_00025,recommendation_stream,unseen_task,"Deploy a high-priority online inference workload of type rec as an edge stream task. The workload requests 1.00 GPU units and has observed duration 1080.00 hours. Evaluate resource availability, latency risk, scheduling delay, and requirements: low_latency, priority_awareness, user_profile_awareness.",long-running stream workload may reduce future resource stability,latency_critical_offloading,recommendation_stream;unseen_task;low_latency;priority_awareness;user_profile_awareness,latency;priority,NONE,NONE,NONE,A1;A2;A3;A4;A5,C1:0.1834;C2:0.1798;C3:0.3361;C4:0.2166;C5:0.0878,False
